instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
mm-10-10-1891798,Memetic-LS_MPX,10.0,10.0,2712.0,1001.0,1908.3333333333333,1908.3333333333333,1909.3333333333333
mm-10-25-1110588,Memetic-LS_MPX,10.0,25.0,4047.0,1001.6666666666666,926.3333333333334,926.3333333333334,927.3333333333334
mm-15-10-1891798,Memetic-LS_MMX,15.0,10.0,3222.3333333333335,1001.0,2509.3333333333335,2509.3333333333335,2510.3333333333335
mm-10-40-1917698,Memetic-LS_MMX,10.0,40.0,5306.0,1003.0,710.3333333333334,710.3333333333334,711.3333333333334
mm-20-10-1917698,Memetic_MPX,20.0,10.0,3450.3333333333335,1002.0,256.3333333333333,256.3333333333333,257.3333333333333
mm-25-10-1762875,Memetic-LS_MPX,25.0,10.0,2954.0,1001.6666666666666,1890.6666666666667,1890.6666666666667,1891.6666666666667
mm-15-10-1762875,Memetic-LS_MPX,15.0,10.0,2770.0,1001.6666666666666,1659.0,1659.0,1660.0
mm-15-10-1762875,Memetic_MMX,15.0,10.0,3746.0,1002.6666666666666,226.66666666666666,226.66666666666666,227.66666666666666
mm-10-10-1917698,Memetic-LS_MMX,10.0,10.0,2838.6666666666665,1001.0,3866.0,3866.0,3867.0
mm-15-40-1762875,Memetic_MMX,15.0,40.0,6404.333333333333,1010.6666666666666,68.0,68.0,69.0
mm-10-40-1917698,Memetic-LS_MPX,10.0,40.0,5221.0,1001.6666666666666,570.0,570.0,571.0
mm-5-25-1110588,Memetic_MMX,5.0,25.0,5191.0,1007.3333333333334,191.66666666666666,191.66666666666666,192.66666666666666
mm-10-25-1762875,Memetic_MMX,10.0,25.0,5239.333333333333,1005.0,129.0,129.0,130.0
mm-10-10-1767920,Memetic-LS_MPX,10.0,10.0,3062.0,1001.0,2064.6666666666665,2064.6666666666665,2065.6666666666665
mm-15-25-1762875,Memetic_MPX,15.0,25.0,5543.333333333333,1007.3333333333334,114.0,114.0,115.0
mm-10-10-1767920,Memetic-LS_MMX,10.0,10.0,3067.3333333333335,1001.0,2990.3333333333335,2990.3333333333335,2991.3333333333335
mm-5-10-1762875,Memetic-LS_MPX,5.0,10.0,1938.3333333333333,1001.0,5407.666666666667,5407.666666666667,5408.666666666667
mm-5-10-1762875,Memetic_MPX,5.0,10.0,2204.3333333333335,1001.0,923.0,923.0,924.0
mm-15-10-1110588,Memetic_MPX,15.0,10.0,3541.6666666666665,1001.6666666666666,334.0,334.0,335.0
mm-10-10-1110588,Memetic-LS_MPX,10.0,10.0,3062.0,1001.0,1954.3333333333333,1954.3333333333333,1955.3333333333333
mm-5-40-1891798,Memetic_MPX,5.0,40.0,6981.0,1009.3333333333334,75.0,75.0,76.0
mm-5-40-1762875,Memetic_MMX,5.0,40.0,6093.333333333333,1006.3333333333334,87.0,87.0,88.0
mm-10-10-1891798,Memetic_MPX,10.0,10.0,3206.3333333333335,1002.3333333333334,380.6666666666667,380.6666666666667,381.6666666666667
mm-15-25-1891798,Memetic_MPX,15.0,25.0,4925.666666666667,1006.6666666666666,132.33333333333334,132.33333333333334,133.33333333333334
mm-15-25-1110588,Memetic_MMX,15.0,25.0,6327.333333333333,1010.3333333333334,77.66666666666667,77.66666666666667,78.66666666666667
mm-25-10-1767920,Memetic-LS_MPX,25.0,10.0,2273.3333333333335,1001.0,1865.6666666666667,1865.6666666666667,1866.6666666666667
mm-5-40-1891798,Memetic-LS_MMX,5.0,40.0,5902.666666666667,1002.3333333333334,583.0,583.0,584.0
mm-5-10-1767920,Memetic_MMX,5.0,10.0,2986.3333333333335,1002.3333333333334,663.3333333333334,663.3333333333334,664.3333333333334
mm-5-25-1110588,Memetic-LS_MPX,5.0,25.0,3428.0,1001.0,1482.6666666666667,1482.6666666666667,1483.6666666666667
mm-15-40-1891798,Memetic_MPX,15.0,40.0,6050.333333333333,1009.6666666666666,78.33333333333333,78.33333333333333,79.33333333333333
mm-25-25-1110588,Memetic_MPX,25.0,25.0,5412.666666666667,1006.0,94.66666666666667,94.66666666666667,95.66666666666667
mm-15-40-1110588,Memetic-LS_MPX,15.0,40.0,5711.0,1001.6666666666666,519.0,519.0,520.0
mm-15-40-1110588,Memetic_MPX,15.0,40.0,6403.0,1007.0,59.333333333333336,59.333333333333336,60.333333333333336
mm-10-10-1762875,Memetic-LS_MPX,10.0,10.0,2156.6666666666665,1001.0,2526.0,2526.0,2527.0
mm-20-10-1917698,Memetic-LS_MPX,20.0,10.0,2433.0,1001.6666666666666,1867.0,1867.0,1868.0
mm-15-25-1917698,Memetic-LS_MPX,15.0,25.0,4329.333333333333,1001.6666666666666,880.3333333333334,880.3333333333334,881.3333333333334
mm-5-25-1891798,Memetic_MMX,5.0,25.0,4920.0,1002.0,217.66666666666666,217.66666666666666,218.66666666666666
mm-20-10-1110588,Memetic_MPX,20.0,10.0,3425.0,1002.3333333333334,285.3333333333333,285.3333333333333,286.3333333333333
mm-5-25-1762875,Memetic-LS_MPX,5.0,25.0,4518.0,1001.3333333333334,1020.6666666666666,1020.6666666666666,1021.6666666666666
mm-20-10-1110588,Memetic-LS_MMX,20.0,10.0,2636.0,1001.0,2591.3333333333335,2591.3333333333335,2592.3333333333335
mm-15-10-1917698,Memetic-LS_MMX,15.0,10.0,3086.0,1001.0,2981.0,2981.0,2982.0
mm-5-40-1767920,Memetic-LS_MMX,5.0,40.0,5635.0,1001.0,668.6666666666666,668.6666666666666,669.6666666666666
mm-5-25-1891798,Memetic-LS_MPX,5.0,25.0,3709.0,1001.0,1223.3333333333333,1223.3333333333333,1224.3333333333333
mm-5-40-1762875,Memetic_MPX,5.0,40.0,6396.0,1005.6666666666666,99.66666666666667,99.66666666666667,100.66666666666667
mm-5-10-1762875,Memetic_MMX,5.0,10.0,2252.0,1001.0,855.0,855.0,856.0
mm-25-10-1110588,Memetic_MPX,25.0,10.0,3903.6666666666665,1002.6666666666666,220.66666666666666,220.66666666666666,221.66666666666666
mm-10-40-1917698,Memetic_MPX,10.0,40.0,6138.666666666667,1006.6666666666666,76.33333333333333,76.33333333333333,77.33333333333333
mm-25-10-1767920,Memetic-LS_MMX,25.0,10.0,2549.6666666666665,1001.0,2043.3333333333333,2043.3333333333333,2044.3333333333333
mm-15-40-1110588,Memetic-LS_MMX,15.0,40.0,5873.666666666667,1002.6666666666666,646.0,646.0,647.0
mm-10-10-1762875,Memetic_MPX,10.0,10.0,2701.0,1002.3333333333334,456.3333333333333,456.3333333333333,457.3333333333333
mm-5-25-1767920,Memetic-LS_MPX,5.0,25.0,4226.666666666667,1001.3333333333334,1181.0,1181.0,1182.0
mm-20-25-1762875,Memetic_MMX,20.0,25.0,5749.0,1007.3333333333334,77.33333333333333,77.33333333333333,78.33333333333333
mm-25-10-1762875,Memetic-LS_MMX,25.0,10.0,3116.6666666666665,1001.0,2006.0,2006.0,2007.0
mm-5-10-1767920,Memetic-LS_MMX,5.0,10.0,2561.6666666666665,1001.0,5269.0,5269.0,5270.0
mm-10-25-1110588,Memetic_MMX,10.0,25.0,5617.666666666667,1006.3333333333334,137.33333333333334,137.33333333333334,138.33333333333334
mm-10-25-1917698,Memetic_MMX,10.0,25.0,5055.666666666667,1005.6666666666666,154.33333333333334,154.33333333333334,155.33333333333334
mm-20-25-1917698,Memetic-LS_MMX,20.0,25.0,4196.666666666667,1001.6666666666666,1220.0,1220.0,1221.0
mm-20-10-1762875,Memetic-LS_MPX,20.0,10.0,1719.6666666666667,1001.0,2344.3333333333335,2344.3333333333335,2345.3333333333335
mm-5-40-1767920,Memetic_MMX,5.0,40.0,6660.0,1015.0,77.33333333333333,77.33333333333333,78.33333333333333
mm-10-40-1891798,Memetic-LS_MMX,10.0,40.0,5359.0,1004.0,682.6666666666666,682.6666666666666,683.6666666666666
mm-15-10-1767920,Memetic-LS_MMX,15.0,10.0,3273.6666666666665,1001.0,3158.6666666666665,3158.6666666666665,3159.6666666666665
mm-10-10-1110588,Memetic_MMX,10.0,10.0,3389.0,1001.6666666666666,367.0,367.0,368.0
mm-5-25-1767920,Memetic_MPX,5.0,25.0,5172.333333333333,1004.3333333333334,191.0,191.0,192.0
mm-5-10-1767920,Memetic-LS_MPX,5.0,10.0,2579.0,1001.0,4326.333333333333,4326.333333333333,4327.333333333333
mm-25-10-1891798,Memetic_MMX,25.0,10.0,4801.0,1006.3333333333334,141.66666666666666,141.66666666666666,142.66666666666666
mm-15-10-1762875,Memetic_MPX,15.0,10.0,3434.6666666666665,1006.0,253.0,253.0,254.0
mm-25-10-1891798,Memetic-LS_MPX,25.0,10.0,2708.0,1001.0,2016.3333333333333,2016.3333333333333,2017.3333333333333
mm-10-40-1762875,Memetic_MPX,10.0,40.0,6237.0,1010.0,88.66666666666667,88.66666666666667,89.66666666666667
mm-10-40-1110588,Memetic_MMX,10.0,40.0,6352.666666666667,1008.6666666666666,57.666666666666664,57.666666666666664,58.666666666666664
