instance,settings,m,n,value,time,nIter,best_iter,improv_count
WS_mm-10-10-1767920,Memetic-LS_MMX_1881515,10,10,3536.0,1024001.0,2705905,2705905,2705906
WS_mm-15-25-1762875,Memetic_MMX_1287823,15,25,6687.0,1024001.0,83835,83835,83836
WS_mm-20-10-1110588,Memetic_MMX_1099666,20,10,4247.0,1024001.0,222844,222844,222845
WS_mm-10-10-1110588,Memetic-LS_MMX_1099666,10,10,3218.0,1024001.0,3516603,3516603,3516604
WS_mm-10-25-1767920,Memetic_MPX_1287823,10,25,5901.0,1024004.0,120343,120343,120344
WS_mm-15-10-1891798,Memetic-LS_MMX_1099666,15,10,4350.0,1024001.0,2314834,2314834,2314835
WS_mm-10-40-1767920,Memetic_MPX_1099666,10,40,7105.0,1024002.0,69561,69561,69562
WS_mm-10-10-1767920,Memetic-LS_MPX_1881515,10,10,3348.0,1024001.0,1855494,1855494,1855495
WS_mm-20-25-1891798,Memetic_MPX_1881515,20,25,5628.0,1024003.0,120026,120026,120027
WS_mm-10-40-1891798,Memetic-LS_MPX_1099666,10,40,5347.0,1024007.0,698300,698300,698301
WS_mm-10-40-1762875,Memetic-LS_MPX_1881515,10,40,5717.0,1024001.0,680824,680824,680825
WS_mm-10-40-1110588,Memetic-LS_MMX_1287823,10,40,5947.0,1024002.0,700584,700584,700585
WS_mm-5-40-1891798,Memetic-LS_MPX_1881515,5,40,6348.0,1024001.0,636355,636355,636356
WS_mm-5-10-1110588,Memetic_MMX_1099666,5,10,2723.0,1024001.0,582725,582725,582726
WS_mm-20-10-1762875,Memetic-LS_MPX_1881515,20,10,2376.0,1024001.0,2406489,2406489,2406490
WS_mm-25-10-1891798,Memetic_MMX_1881515,25,10,5364.0,128006.0,18509,18509,18508
WS_mm-5-25-1110588,Memetic_MPX_1099666,5,25,5481.0,1024002.0,189593,189593,189594
WS_mm-20-25-1110588,Memetic_MMX_1287823,20,25,6427.0,1024016.0,82315,82315,82316
WS_mm-5-25-1767920,Memetic_MMX_1881515,5,25,5563.0,64001.0,8897,8897,8896
WS_mm-15-25-1110588,Memetic_MMX_1099666,15,25,6897.0,1024005.0,102139,102139,102140
WS_mm-10-40-1891798,Memetic-LS_MPX_1881515,10,40,5866.0,1024004.0,743843,743843,743844
WS_mm-5-10-1762875,Memetic_MMX_1881515,5,10,2252.0,256000.0,218543,218543,218542
WS_mm-20-25-1767920,Memetic_MMX_1287823,20,25,7186.0,1024009.0,63128,63128,63129
WS_mm-10-10-1767920,Memetic_MPX_1287823,10,10,3735.0,1024003.0,321136,321136,321137
WS_mm-10-10-1110588,Memetic-LS_MPX_1287823,10,10,3236.0,1024001.0,2684970,2684970,2684971
WS_mm-5-40-1762875,Memetic_MPX_1287823,5,40,6702.0,1024017.0,72829,72829,72830
WS_mm-25-25-1110588,Memetic_MMX_1099666,25,25,7289.0,1024013.0,64543,64543,64544
WS_mm-10-25-1917698,Memetic-LS_MPX_1099666,10,25,4120.0,1024002.0,1184184,1184184,1184185
WS_mm-10-10-1767920,Memetic-LS_MMX_1099666,10,10,3810.0,1024001.0,3014714,3014714,3014715
WS_mm-15-25-1917698,Memetic_MPX_1287823,15,25,5694.0,1024005.0,117597,117597,117598
WS_mm-25-25-1917698,Memetic-LS_MPX_1881515,25,25,2355.0,1024001.0,1222489,1222489,1222490
WS_mm-10-10-1110588,Memetic_MPX_1287823,10,10,3398.0,1024001.0,431739,431739,431740
WS_mm-5-10-1767920,Memetic_MPX_1099666,5,10,3031.0,1024001.0,613620,613620,613621
